,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5
0,kindle,great,kindle,kindle,pros,kindle
1,tablet,kindle,tablet,tablet,great,tablet
2,fire,tablet,fire,fire,cons,fire
3,ipad,fire,ipad,great,love,ipad
4,like,love,would,screen,update,screen
5,use,screen,screen,ipad,good,use
6,would,good,use,use,tablet,like
7,screen,like,one,one,screen,would
8,device,device,like,device,product,amazon
9,amazon,ipad,amazon,like,fire,one
10,one,one,great,would,kindle,device
11,android,would,get,amazon,really,great
12,apps,amazon,apps,apps,battery,get
13,get,apps,device,love,thanks,apps
14,app,use,good,good,apps,android
15,great,well,android,get,well,good
16,wifi,really,love,also,one,also
17,want,product,got,android,amazon,really
18,even,also,read,well,price,well
19,time,get,books,really,1,app
20,good,works,easy,price,like,much
21,also,price,bought,product,works,even
22,work,android,also,work,2,books
23,read,battery,even,2,device,time
24,really,easy,much,much,overall,read
25,much,2,well,bought,awesome,work
26,books,much,time,app,nice,love
27,could,work,2,books,3,product
28,well,fast,price,easy,ipad,want
29,2,buy,product,better,life,2
30,web,first,really,even,would,wifi
31,need,got,wifi,works,note,could
32,better,even,better,time,bad,price
33,back,better,work,battery,recommend,bought
34,price,bought,app,could,buy,got
35,using,time,could,read,wow,better
36,reading,books,first,got,easy,easy
37,touch,thing,touch,first,use,first
38,video,nice,reading,wifi,yes,buy
39,first,touch,want,buy,video,touch
40,little,app,works,touch,edit,back
41,able,wifi,web,want,perfect,using
42,battery,recommend,using,reading,fast,reading
43,new,could,buy,back,first,battery
44,still,life,little,using,wrong,need
45,buy,still,still,web,also,thing
46,since,everything,back,video,thing,web
47,go,1,games,little,5,little
48,market,new,need,still,thank,works
49,used,3,thing,new,amazing,still
50,many,reading,battery,nice,highly,video
51,product,video,3,thing,get,new
52,usb,back,used,fast,4,go
53,got,read,download,need,summary,way
54,way,pros,new,many,camera,used
55,thing,cons,two,3,conclusion,many
56,bought,web,play,everything,work,market
57,phone,little,everything,used,everything,think
58,free,far,problem,games,excellent,free
59,find,happy,purchased,think,size,nice
60,play,quality,nice,problem,disappointed,problem
61,card,update,many,size,nothing,able
62,music,perfect,way,life,bottom,find
63,love,size,think,1,books,music
64,think,need,music,go,happy,games
65,games,want,go,way,line,everything
66,know,purchase,free,market,android,play
67,lot,go,christmas,far,quality,laptop
68,movies,overall,video,free,ok,tablets
69,google,4,best,internet,problem,apple
70,see,problem,without,right,touch,since
71,tablets,pretty,market,best,absolutely,see
72,apple,5,movies,purchased,software,movies
73,without,think,phone,keyboard,web,keyboard
74,make,keyboard,keyboard,movies,time,purchased
75,easy,way,know,quality,pretty,right
76,keyboard,two,since,say,better,3
77,7,best,day,apple,10,lot
78,laptop,money,5,laptop,far,something
79,download,games,book,two,still,size
80,internet,however,able,things,much,far
81,computer,free,1,tablets,enjoy,things
82,things,using,email,purchase,pro,without
83,something,worth,laptop,lot,review,know
84,book,fine,videos,play,reading,two
85,works,things,fast,music,hardware,7
86,access,7,right,update,app,fast
87,email,awesome,4,know,music,email
88,home,internet,card,day,could,day
89,problem,many,wanted,7,right,computer
90,found,say,internet,5,got,internet
91,right,purchased,computer,find,bought,book
92,going,right,7,christmas,wifi,download
93,available,music,size,without,best,phone
94,take,bad,etc,pretty,games,best
95,people,movies,access,perfect,etc,make
96,full,never,usb,see,fine,found
97,videos,amazing,google,since,go,usb
98,3,support,update,happy,lol,videos
99,around,camera,home,recommend,browser,life
100,two,day,never,videos,worth,support
101,nice,market,see,usb,support,say
102,sure,problems,things,support,things,wanted
103,store,laptop,going,computer,purchase,card
104,getting,apple,find,make,sound,google
105,looking,know,apple,hours,little,people
106,prime,review,tablets,however,keyboard,looking
107,etc,used,sure,found,recommended,1
108,wanted,another,support,email,big,quality
109,say,tablets,money,never,7,purchase
110,watch,lot,prime,another,loves,update
111,sd,browser,lot,wanted,slow,home
112,support,enough,take,browser,seriously,however
113,tab,excellent,days,4,cool,access
114,size,big,life,access,even,never
115,power,email,received,fine,two,browser
116,day,etc,something,review,11,sure
117,everything,videos,purchase,able,back,available
118,flash,though,make,reader,problems,going
119,os,issues,hours,something,weight,around
120,best,nothing,another,phone,performance,small
121,small,play,quality,book,read,take
122,button,find,times,camera,annoying,full
123,enough,something,getting,card,flash,getting
124,bit,slow,camera,money,however,days
125,software,display,browser,looking,money,unit
126,purchased,wanted,far,days,email,pretty
127,update,service,say,tried,display,another
128,long,highly,found,prime,con,reviews
129,hours,usb,full,getting,12,hours
130,life,take,people,download,length,software
131,though,customer,recommend,available,issues,prime
132,purchase,flash,looking,google,want,issues
133,camera,looking,store,home,new,store
134,version,yes,however,people,please,4
135,another,received,old,software,fantastic,christmas
136,browser,absolutely,unit,take,need,5
137,reviews,computer,tried,going,apple,reader
138,1,christmas,reviews,received,6,camera
139,never,experience,reader,enough,worked,etc
140,already,software,watch,problems,im,flash
141,far,getting,available,unit,enough,big
142,reader,sure,long,overall,way,button
143,issues,responsive,netflix,yet,another,enough
144,may,im,put,sure,simple,money
145,experience,worked,though,around,nope,already
146,4,unit,anything,small,hope,makes
147,every,see,pretty,store,movies,tab
148,5,download,big,big,beware,review
149,fast,without,power,though,stars,watch
150,pretty,found,fine,flash,ps,experience
151,hard,needs,review,look,usb,power
152,unit,browsing,box,etc,free,long
153,less,hours,worth,issue,heavy,problems
154,big,reader,responsive,power,never,asus
155,come,phone,around,issues,luck,feel
156,archos,yet,enough,said,sure,seems
157,however,people,small,worth,design,received
158,devices,issue,every,tab,beautiful,issue
159,features,thanks,gift,button,experience,though
160,put,available,perfect,experience,fun,fine
161,samsung,small,button,archos,speed,bit
162,quality,card,issues,long,know,recommend
163,case,10,bit,bad,gps,anything
164,days,seems,problems,features,internet,os
165,look,make,software,seems,think,system
166,pc,going,bad,reviews,say,every
167,asus,netflix,happy,netflix,ever,archos
168,system,quite,already,bit,service,look
169,netflix,prime,wife,slow,deal,netflix
170,times,tried,set,every,looks,old
171,memory,makes,hard,full,see,yet
172,give,days,look,anything,oh,give
173,keep,bit,thought,made,negatives,devices
174,old,archos,seems,gift,color,features
175,anything,book,color,makes,wonderful,sd
176,money,since,turn,worked,many,case
177,yet,anyone,charge,needs,speakers,tried
178,tv,home,came,feel,done,browsing
179,browsing,every,month,light,okay,times
180,makes,sound,went,hard,mine,gift
181,windows,gift,slow,10,complaints,version
182,problems,features,issue,almost,storage,happy
183,display,look,year,times,market,hard
184,turn,asus,im,system,sorry,came
185,galaxy,anything,hold,os,quick,color
186,actually,wife,try,old,user,made
187,feel,said,xoom,less,videos,light
188,issue,give,sd,nothing,customer,wife
189,iphone,power,light,asus,example,comes
190,xoom,os,ereader,excellent,simply,year
191,tried,disappointed,flash,wife,definitely,thought
192,comes,long,makes,responsive,memory,put
193,review,light,display,service,said,perfect
194,year,full,yet,may,interface,less
195,files,button,experience,sd,returned,said
196,connect,user,service,display,period,responsive
197,cloud,made,downloaded,case,value,hold
198,storage,around,os,xoom,yet,slow
199,made,color,6,put,though,box
200,fine,google,10,devices,reader,bad
201,seems,store,browsing,amazing,super,display
202,run,heavy,tab,give,cheap,set
203,set,access,give,browsing,tablets,come
204,3g,ok,_,user,job,im
205,user,feel,less,watch,seems,keep
206,10,definitely,case,sound,almost,samsung
207,thought,tab,made,try,winner,charge
208,content,hardware,features,already,power,10
209,trying,stars,wish,thought,asus,quite
210,box,almost,week,weeks,maybe,may
211,said,less,come,came,lot,windows
212,might,ever,feel,actually,issue,sound
213,hold,mine,samsung,charge,disappointing,almost
214,e,try,user,several,browsing,last
215,page,clear,playing,color,look,service
216,different,hope,said,quite,poor,next
217,try,wish,connect,downloaded,2011,several
218,charge,pleased,let,im,plus,ever
219,fact,able,comes,customer,frustrating,downloaded
220,bad,case,worked,memory,light,nothing
221,color,returned,months,3g,unit,memory
222,watching,maybe,youtube,come,come,needs
223,connection,item,anyone,buying,impressed,actually
224,almost,reviews,system,set,purchased,worth
225,although,come,iphone,windows,last,user
226,easily,fun,actually,year,accessories,overall
227,came,actually,nothing,comes,later,run
228,service,loves,asus,ever,audio,3g
229,nook,looks,ever,anyone,bluetooth,watching
230,playing,speakers,last,easily,features,iphone
231,christmas,beautiful,keep,awesome,needs,nook
232,buying,deal,archos,version,keep,check
233,ipod,thought,heavy,ereader,terrible,plus
234,quite,already,return,samsung,day,weeks
235,downloaded,else,several,always,cheers,e
236,recommend,comes,sometimes,absolutely,200,turn
237,install,memory,windows,galaxy,thoughts,pc
238,side,version,3g,deal,received,customer
239,several,hard,overall,nook,sucks,worked
240,always,simple,cloud,expected,play,galaxy
241,slow,may,almost,hold,solid,heavy
242,installed,second,memory,box,anyone,easily
243,gps,old,amazing,item,vs,went
244,check,interface,page,feature,without,took
245,ereader,windows,quite,cons,actually,ereader
246,youtube,working,version,hardware,clear,try
247,wireless,speed,run,different,check,playing
248,couple,let,weeks,speed,take,buying
249,perfect,feels,buying,keep,2012,always
250,plus,came,may,stars,quite,deal
251,next,check,working,return,second,page
252,last,thank,sound,playing,warning,cloud
