"","screen","memory","connection","durationOfBattery","valueForMoney"
"1","screen","tablet","one","ipad","kindle"
"2","like","android","product","device","fire"
"3","just","good","get","apps","amazon"
"4","really","battery","wifi","app","great"
"5","get","great","will","can","love"
"6","touch","market","back","will","books"
"7","one","tablets","got","use","read"
"8","little","use","time","apple","reading"
"9","thing","can","problem","many","can"
"10","good","screen","work","browser","easy"
"11","use","works","new","web","price"
"12","can","usb","first","like","use"
"13","want","card","buy","available","movies"
"14","much","also","now","video","free"
"15","think","well","bought","store","games"
"16","something","keyboard","even","experience","book"
"17","right","quality","days","also","bought"
"18","time","life","internet","devices","prime"
"19","nice","tab","just","access","also"
"20","way","video","support","user","music"
"21","button","work","money","however","download"
"22","things","google","problems","using","web"
"23","will","price","tried","even","watch"
"24","well","camera","unit","email","apps"
"25","around","full","never","better","christmas"
"26","used","asus","day","need","purchase"
"27","lot","best","another","want","buy"
"28","going","better","service","much","able"
"29","know","apps","update","way","one"
"30","even","memory","received","find","recommend"
"31","see","windows","two","browsing","play"
"32","small","flash","still","iphone","everything"
"33","enough","using","worked","etc","wanted"
"34","better","samsung","customer","one","happy"
"35","laptop","play","return","make","purchased"
"36","find","galaxy","said","phone","old"
"37","sure","fast","box","music","much"
"38","say","archos","weeks","may","color"
"39","big","xoom","know","content","ereader"
"40","pretty","system","reviews","well","gift"
"41","need","run","came","new","reader"
"42","people","comes","item","interface","perfect"
"43","computer","will","took","software","email"
"44","power","install","issue","work","nook"
"45","display","nice","working","less","downloaded"
"46","bit","installed","went","without","want"
"47","first","software","week","see","cloud"
"48","long","update","purchased","lack","year"
"49","hold","hours","nothing","needs","wife"
"50","put","cons","connect","storage","got"
"51","home","gps","help","two","videos"
"52","using","case","since","people","kids"
"53","though","still","order","features","cost"
"54","size","running","issues","feature","check"
"55","getting","port","try","version","fast"
"56","sometimes","inch","give","still","library"
"57","far","drive","charge","makes","best"
"58","take","bluetooth","minutes","limited","netflix"
"59","heavy","performance","months","media","wish"
"60","feel","transformer","finally","view","access"
"61","now","youtube","ordered","touchpad","amazing"
"62","anything","far","wait","simply","looking"
"63","make","looking","speed","files","enjoy"
"64","volume","space","called","playbook","already"
"65","look","slot","hours","point","well"
"66","hard","pros","tech","open","facebook"
"67","times","thrive","started","time","absolutely"
"68","keep","overall","trying","home","awesome"
"69","slow","version","ago","though","month"
"70","light","hdmi","purchase","since","anyone"
"71","still","built","connection","computer","watching"
"72","back","acer","next","allow","loves"
"73","hand","honeycomb","fix","ipod","internet"
"74","keyboard","processor","amazon","videos","size"
"75","actually","pretty","returned","now","now"
"76","seems","player","review","flash","daughter"
"77","everything","now","anything","things","many"
"78","page","excellent","shipping","users","fun"
"79","turn","without","thought","used","husband"
"80","works","phone","connected","mobile","since"
"81","maybe","wifi","times","itunes","day"
"82","bottom","cable","second","word","pleased"
"83","bad","used","replacement","reader","magazines"
"84","case","need","later","although","buying"
"85","fine","upgrade","last","via","playing"
"86","top","netbook","waiting","first","highly"
"87","always","responsive","send","applications","far"
"88","deal","ram","getting","sites","movie"
"89","probably","micro","today","ability","shows"
"90","life","fine","told","lot","account"
"91","takes","issues","wireless","simple","friends"
"92","sound","resolution","star","documents","wonderful"
"93","also","get","pay","already","surf"
"94","cool","runs","disappointed","might","without"
"95","type","solid","company","yet","family"
"96","cover","hardware","buying","just","worth"
"97","might","videos","several","functionality","listen"
"98","stuff","quite","sent","look","kindles"
"99","else","external","decided","future","son"
"100","side","able","going","text","glad"
"101","last","skype","able","think","etc"
"102","kind","even","three","useful","store"
"103","overall","low","turn","different","lot"
"104","couple","sound","call","either","every"
"105","never","plus","say","review","surfing"
"106","almost","bit","every","easily","plus"
"107","come","however","ever","laptop","features"
"108","hands","mode","online","allows","need"
"109","away","much","reset","must","angry"
"110","finger","high","come","blackberry","reviews"
"111","annoying","toshiba","please","photos","streaming"
"112","buttons","less","let","another","fires"
"113","looking","included","gave","ipads","product"
"114","holding","plug","stars","found","get"
"115","phone","charge","spent","plan","getting"
"116","quick","games","router","means","disappointed"
"117","yes","files","bad","android","excellent"
"118","change","front","download","ios","purchasing"
"119","try","power","within","true","really"
"120","hit","recommend","wanted","news","birds"
"121","found","viewing","arrived","compared","lots"
"122","looks","decent","mine","list","found"
"123","let","stylus","says","major","ebooks"
"124","start","extra","paid","actually","expected"
"125","easy","yet","website","application","say"
"126","typing","speakers","found","making","easier"
"127","anyway","found","manual","pages","outside"
"128","gets","operating","products","pdf","money"
"129","place","dock","away","products","carry"
