"","screen","memory","connection","durationOfBattery","valueForMoney"
"1","screen","memory","wifi","battery","money"
"2","display","enough","connection","life","value"
"3","resolution","storage","wireless","lasts","worth"
"4","touch","space","network","lasting","price"
"5","bright","internal","connect","drain","beat"
"6","color","plenty","connected","charge","cost"
"7","clear","sd","internet","longer","spend"
"8","screens","gb","signal","recharge","paid"
"9","beautiful","need","connectivity","hrs","buy"
"10","responsive","ram","connections","extends","deal"
"11","colors","can","router","holds","bucks"
"12","touchscreen","card","g","hours","definitely"
"13","nice","small","connecting","duration","product"
"14","makes","though","connects","usage","considering"
"15","also","sure","hotspot","charging","think"
"16","looks","means","house","lasted","pay"
"17","lcd","still","anywhere","extend","waste"
"18","sharp","also","home","standby","believe"
"19","crisp","although","reception","charges","consider"
"20","however","yes","always","batter","dollars"
"21","although","think","without","recharging","money"","
"22","even","size","networks","indicator","extra"
"23","viewing","little","gps","saves","reasonable"
"24","seems","slot","problems","batteries","best"
"25","size","much","range","shorter","expensive"
"26","vibrant","lot","fine","remaining",""","
"27","though","might","even","short","certainly"
"28","see","even","access","normal","amazing"
"29","good","hard","problem","long","opinion"
"30","simply","big","seems","drainage","give"
"31","look","drive","set","juice","steal"
"32","picture","amount","pick","dies","point"
"33","great","probably","devices","batery","recommend"
"34","like","cons","bluetooth","drains","purchase"
"35","better","add","drops","significantly","spending"
"36","actually","limited","speed","plugged","good"
"37","really","really","work","seems","less"
"38","just","however","however","power","price"","
"39","multitouch","least","works","drained","overall"
"40","full","may","also","insane","
"
"41","much","plus","though","userreplaceable","really"
"42","angles","microsd","phone","life"",","great"
"43","well","put","use","conserve","paying"
"44","ips","extra","tried","discharge","probably"
"45","way","make","strength","hr","costs"
"46","excellent","wish","modem","usually","buying"
"47","especially","fact","using","overnight","say"
"48","quality","nice","issues","charger","get"
"49","amazing","thing","weak","extended","cheaper"
"50","fine","seems","either","spare","much"
"51","fact","yet","still","average","ipad"
"52","yes","things","strong","draining","want"
"53","still","capacity","course","dock","expect"
"54","except","expandable","via","goes","bargain"
"55","quite","without","setting","prolong","save"
"56","image","mb","device","less","better"
"57","pretty","get","worked","charged","another"
"58","light","use","fast","rechargeable","tablet"
"59","used","want","setup","takes","offers"
"60","easy","bit","able","acceptable","happy"
"61","fantastic","actually","turned","depending","offer"
"62","vivid","course","issue","brightness","cheap"
"63","can","usable","get","cons","awesome"
"64","smooth","gig","web","amount","dont"
"65","gorgeous","seem","find","fully","lot"
"66","either","see","need","length","guess"
"67","brightness","large","data","runtime","given"
"68","x","just","often","endurance","real"
"69","capacitive","stuff","slow","time","tag"
"70","displays","device","fact","meter","sell"
"71","sensitive","battery","used","unit","least"
"72","works","gigs","go","mode","fair"
"73","true","way","found","replaceable","seriously"
"74","far","will","trouble","light","dollar"
"75","awesome","needed","turn","performance","going"
"76","small","comes","hotspots","eats","investment"
"77","made","makes","point","adds","one"
"78","inch","lots","unless","recharged","item"
"79","perfect","external","hot","term","anything"
"80","bad","anyway","spot","preserve","looking"
"81","side","good","plan","half","especially"
"82","always","micro","disconnect","supply","products"
"83","text","great","time","last","spent"
"84","almost","point","unit","removable","thing"
"85","larger","run","gg","dismal","something"
"86","seem","come","lost","nonremovable","plus"
"87","glass","like","never","capacity","features"
"88","resistive","handle","except","night","selling"
"89","little","needs","can","decent","amazon"
"90","images","know","away","heavy","pad"
"91","device","able","getting","means","meta"
"92","change","additional","battery","leave","shipping"
"93","think","something","stay","still","bad"
"94","type","life","matter","low","fantastic"
"95","less","time","mobile","bad","mind"
"96","black","real","seem","worry","know"
"97","ok","deal","far","left","afford"
"98","tablet","anything","sure","percent","piece"
"99","ipad","going","every","plenty","quality"
"100","easily","added","way","speed","product"","
"101","one","pretty","cellular","cord","sure"
"102","right","now","constantly","unplugged","made"
"103","graphics","easily","usually","longest","anyone"
"104","everything","system","places","needing","just"
"105","angle","find","possible","full","list(author"
"106","contrast","ok","ok","dead","mean"
"107","make","tablet","download","heat","now"
"108","found","apps","good","pretty","choice"
"109","pages","rather","cell","discharged","ton"
"110","use","decent","minutes","alone","make"
"111","overall","well","although","continuous","still"
"112","brilliant","guess","charge","least","prime"
"113","responsiveness","applications","means","indicates","fire"
"114","fast","maybe","well","plug","mention"
"115","page","understand","quickly","day","else"
"116","noticed","larger","area","distance","amount"
"117","sometimes","speed","just","dying","love"
"118","mode","important","life","eat","highly"
"119","cons","far","now","saver","conclusion"
"120","high","quite","fi","moderate","might"
"121","hard","upgrade","pretty","sleep","device"
"122","backlit","overall","easily","forever","half"
"123","interface","used","lose","max","wonderful"
"124","large","available","bgn","limited","incredible"
"125","keyboard","expand","yet","periods","feel"
"126","course","less","speeds","mention","everything"
"127","using","adequate","n","enough","part"
"128","big","fine","since","turn","end"
"129","feature","full","anything","completely","getting"
"130","fire","kind","charging","storage","thanks"
"131","battery","people","etc","sufficient","stars"
"132","means","take","reliable","weight","glad"
"133","view","unit","needed","greatly","affordable"
"134","problem","especially","tether","terrible","gives"
"135","sure","one","capability","hot","need"
"136","super","either","least","though","must"
"137","smaller","huge","else","horrible","whole"
"138","point","expansion","location","bit","functionality"
"139","difference","onboard","browser","thing","course"
"140","thing","flash","laptop","lithium","junk"
"141","find","increase","tethering","space","otherwise"
"142","glossy","issue","settings","good","definately"
"143","annoying","ability","within","gets","compare"
"144","clarity","price","everything","green","sorry"
"145","turns","processor","routers","issue","time"
"146","get","fast","gets","even","ever"
"147","easier","running","know","recharges","idea"
"148","reading","stick","breeze","downside","bought"
"149","turn","board","somewhere","although","far"
"150","life","lack","option","almost","decent"
"151","speed","performance","tablet","use","will"
